metric,n,auroc_same_trajectory,ci_same_lo,ci_same_hi,p_same,auroc_independent_replica,ci_indep_lo,ci_indep_hi,p_indep,difference
Pocket retention (R_pocket),58,0.7560975609756098,0.614498497073248,0.8728809272123225,0.0023605820345086732,0.5380200860832138,0.3819444444444445,0.6854180021367522,0.6569401204835166,0.21807747489239593
Pose perturbation (RMSD 18-20ns),58,0.8766140602582496,0.7753607013457557,0.9581443798449613,7.620344086904702e-06,0.5581061692969871,0.3875968992248062,0.7179608585858586,0.4944204761739953,0.31850789096126253
