model,n,proteins,auroc,clustered_ci_low,clustered_ci_high,balanced_accuracy_at_0.5
raw_corrected_rmsd,81,16,0.8180147058823529,0.7311679122764029,0.8884322117276662,
endpoint_logistic,81,16,0.8088235294117647,0.7155349913244651,0.8829206101603395,0.7398897058823529
temporal_logistic,81,16,0.7941176470588236,0.6742159598214286,0.8867776954325866,0.7633272058823529
endpoint_spline,81,16,0.7895220588235294,0.6825748556998557,0.8715820397056094,0.7026654411764706
temporal_random_forest,81,16,0.7536764705882353,0.6641145258250521,0.8428633004926107,0.7141544117647058
temporal_hist_gradient_boosting,81,16,0.7329963235294117,0.6553554894179894,0.8205566346350437,0.6217830882352942
