model,n,proteins,auroc,clustered_ci_low,clustered_ci_high,balanced_accuracy_at_0.5
raw_corrected_rmsd,73,16,0.8245798319327731,0.7330308823529411,0.900351502311248,
endpoint_logistic,73,16,0.8182773109243697,0.7228115547489413,0.8947402159244265,0.7421218487394958
temporal_logistic,73,16,0.7972689075630253,0.6811130030959752,0.9047652347652346,0.7599789915966386
temporal_random_forest,73,16,0.7878151260504203,0.6976489938080496,0.8686281992305118,0.7547268907563025
endpoint_spline,73,16,0.7846638655462186,0.6920681942442467,0.8683355263157894,0.7127100840336134
temporal_hist_gradient_boosting,73,16,0.7121848739495799,0.6273867893573897,0.820164251071509,0.6050420168067226
