model,held_out_protein,selected_configuration,inner_grouped_auroc,outer_train_n,feature_n
temporal_random_forest,CDR1_CANAR,"depth=None,leaf=8",0.8016826923076923,68,14
temporal_random_forest,CDR1_CANAR_auris,"depth=None,leaf=8",0.8077830188679245,69,14
temporal_random_forest,CDR2_CANAL,"depth=2,leaf=8",0.7805429864253394,69,14
temporal_random_forest,CIMG_00533,"depth=2,leaf=8",0.8070588235294117,67,14
temporal_random_forest,CIMG_00780,"depth=None,leaf=8",0.7811447811447811,65,14
temporal_random_forest,CIMG_01418,"depth=2,leaf=8",0.794471153846154,68,14
temporal_random_forest,CIMG_06197,"depth=3,leaf=8",0.7932692307692307,68,14
temporal_random_forest,CIMG_09093,"depth=2,leaf=5",0.7737556561085973,69,14
temporal_random_forest,MDR1_CRYNH,"depth=2,leaf=8",0.7935828877005348,72,14
temporal_random_forest,MDR1_TRIRC,"depth=None,leaf=8",0.790080738177624,68,14
temporal_random_forest,MDR2_TRIRC,"depth=None,leaf=8",0.7773933102652826,68,14
temporal_random_forest,PDH1_CANGA,"depth=2,leaf=8",0.8246913580246913,69,14
temporal_random_forest,PDR5_YEAST,"depth=2,leaf=8",0.8009259259259259,70,14
temporal_random_forest,SNQ2_CANGA,"depth=None,leaf=8",0.8136792452830188,69,14
