metric_id,task,score_column,higher_score_means,n,n_proteins,n_retained,n_nonretained,auroc,ci_lo,ci_hi,ci_method,model,checkpoint,auroc_ci_lo,auroc_ci_hi,paired_diff_vs_rmsd,paired_diff_ci_lo,paired_diff_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,compute_saved_at_fsr10,achieved_false_stop_rate,decision_threshold,subset
T_pocket_only,10ns,_proba,late retained,81,16.0,17.0,64.0,0.7169117647058824,0.5785642135642136,0.827123111724561,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_only,10ns,0.5785642135642136,0.827123111724561,-0.078125,-0.15384615384615385,-0.016447209355594038,0.7224264705882353,0.6013691939719337,0.8189655172413793,0.3111111111111111,0.058823529411764705,0.41000000000000003,
Theta_pocket_only,10ns,_proba,late retained,81,16.0,17.0,64.0,0.7601102941176471,0.5926668013649425,0.8963490742666942,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_only,10ns,0.5926668013649425,0.8963490742666942,-0.03492647058823528,-0.13591739060489066,0.06021646859083187,0.7008272058823529,0.5397060706967213,0.8115942028985508,0.26666666666666666,0.058823529411764705,0.312,
T_whole_plus_Theta_whole,10ns,_proba,late retained,81,16.0,17.0,64.0,0.7444852941176471,0.5757394245099163,0.8695662830349531,"protein-clustered bootstrap, 5000 draws; fixed score",T_whole_plus_Theta_whole,10ns,0.5757394245099163,0.8695662830349531,-0.05055147058823528,-0.13819931766602964,0.013131313131313108,0.7104779411764706,0.5476190476190476,0.8354985475051264,0.34444444444444444,0.058823529411764705,0.372,
T_pocket_plus_Theta_pocket,10ns,_proba,late retained,81,16.0,17.0,64.0,0.7628676470588235,0.6051102543290043,0.8847660495923912,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_plus_Theta_pocket,10ns,0.6051102543290043,0.8847660495923912,-0.032169117647058876,-0.11249923796539532,0.0380172858617131,0.7164522058823529,0.5595238095238095,0.8302818594257855,0.34444444444444444,0.058823529411764705,0.366,
near_boundary_rmsd_only_10ns,,,,61,,,,0.7713903743315508,,,,rmsd_only,10ns,,,,,,,,,,,,near_boundary
near_boundary_T_whole_only_10ns,,,,61,,,,0.6323529411764706,,,,T_whole_only,10ns,,,,,,,,,,,,near_boundary
near_boundary_Theta_whole_only_10ns,,,,61,,,,0.7286096256684492,,,,Theta_whole_only,10ns,,,,,,,,,,,,near_boundary
near_boundary_T_pocket_only_10ns,,,,61,,,,0.6898395721925134,,,,T_pocket_only,10ns,,,,,,,,,,,,near_boundary
near_boundary_Theta_pocket_only_10ns,,,,61,,,,0.7406417112299465,,,,Theta_pocket_only,10ns,,,,,,,,,,,,near_boundary
near_boundary_T_whole_plus_Theta_whole_10ns,,,,61,,,,0.7259358288770054,,,,T_whole_plus_Theta_whole,10ns,,,,,,,,,,,,near_boundary
near_boundary_T_pocket_plus_Theta_pocket_10ns,,,,61,,,,0.7459893048128342,,,,T_pocket_plus_Theta_pocket,10ns,,,,,,,,,,,,near_boundary
theta_pocket_6A,10ns,Theta_pocket_6A_mean_8_10,late non-retained,81,16.0,17.0,64.0,0.7693014705882353,0.5959922014195169,0.9010907599781299,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_6A,10ns,,,,,,,,,,,,radius_sensitivity
