target,target_column,spearman_rho,spearman_ci_lo,spearman_ci_hi,n_retained_3A,n,auroc_3A,auroc_ci_lo,auroc_ci_hi
"(14,20]ns",Z20_A,0.7714995483288166,0.5802399651510104,0.8759187004213131,29,81,0.9303713527851459,0.8506242153170119,0.9792853425937725
"(35,50]ns",Z50_A,0.6536359530261969,0.4723933227309151,0.7738869348078891,22,81,0.8466872110939908,0.7283748856939647,0.9319987036927504
"(70,100]ns",late_pose_rmsd_median_70_100_A,0.5563459801264679,0.3884379413910336,0.6710621511318793,17,81,0.8207720588235294,0.7476921296296296,0.8842023647993796
