metric_id,task,score_column,higher_score_means,n,n_proteins,n_retained,n_nonretained,auroc,ci_lo,ci_hi,ci_method,model,checkpoint,auroc_ci_lo,auroc_ci_hi,paired_diff_vs_rmsd,paired_diff_ci_lo,paired_diff_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,compute_saved_at_fsr10,achieved_false_stop_rate,decision_threshold,subset
T_pocket_only,10ns,_proba,late retained,81,16.0,17.0,64.0,0.7564338235294118,0.6288308189655172,0.8444049325722501,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_only,10ns,0.6288308189655172,0.8444049325722501,-0.03860294117647056,-0.1272342096560847,0.012542469461707229,0.7224264705882353,0.6147066944326166,0.8125,0.3333333333333333,0.058823529411764705,0.41200000000000003,
Theta_pocket_only,10ns,_proba,late retained,81,16.0,17.0,64.0,0.8023897058823529,0.6524793715140015,0.9141037087912087,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_only,10ns,0.6524793715140015,0.9141037087912087,0.007352941176470562,-0.07331088137009194,0.08242515756302514,0.7164522058823529,0.5656413270637409,0.8170828493999225,0.3,0.058823529411764705,0.314,
T_whole_plus_Theta_whole,10ns,_proba,late retained,81,16.0,17.0,64.0,0.8023897058823529,0.6630026455026454,0.8972652905607876,"protein-clustered bootstrap, 5000 draws; fixed score",T_whole_plus_Theta_whole,10ns,0.6630026455026454,0.8972652905607876,0.007352941176470562,-0.03755868544600938,0.038099141295862525,0.7555147058823529,0.5950502193488801,0.8620797413793101,0.43333333333333335,0.058823529411764705,0.42,
T_pocket_plus_Theta_pocket,10ns,_proba,late retained,81,16.0,17.0,64.0,0.8069852941176471,0.6814465725806451,0.898078529657477,"protein-clustered bootstrap, 5000 draws; fixed score",T_pocket_plus_Theta_pocket,10ns,0.6814465725806451,0.898078529657477,0.011948529411764719,-0.038890692640692615,0.05680538041193783,0.7477022058823529,0.5966183574879227,0.848487012987013,0.4,0.058823529411764705,0.374,
near_boundary_rmsd_only_10ns,,,,61,,,,0.7713903743315508,,,,rmsd_only,10ns,,,,,,,,,,,,near_boundary
near_boundary_T_whole_only_10ns,,,,61,,,,0.6711229946524064,,,,T_whole_only,10ns,,,,,,,,,,,,near_boundary
near_boundary_Theta_whole_only_10ns,,,,61,,,,0.7687165775401069,,,,Theta_whole_only,10ns,,,,,,,,,,,,near_boundary
near_boundary_T_pocket_only_10ns,,,,61,,,,0.7232620320855615,,,,T_pocket_only,10ns,,,,,,,,,,,,near_boundary
near_boundary_Theta_pocket_only_10ns,,,,61,,,,0.7807486631016043,,,,Theta_pocket_only,10ns,,,,,,,,,,,,near_boundary
near_boundary_T_whole_plus_Theta_whole_10ns,,,,61,,,,0.7874331550802139,,,,T_whole_plus_Theta_whole,10ns,,,,,,,,,,,,near_boundary
near_boundary_T_pocket_plus_Theta_pocket_10ns,,,,61,,,,0.786096256684492,,,,T_pocket_plus_Theta_pocket,10ns,,,,,,,,,,,,near_boundary
theta_pocket_6A,10ns,Theta_pocket_6A_mean_8_10,late non-retained,81,16.0,17.0,64.0,0.8033088235294118,0.6523049264084332,0.912078699988536,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_6A,10ns,,,,,,,,,,,,radius_sensitivity
theta_pocket_8A,10ns,Theta_pocket_8A_mean_8_10,late non-retained,81,16.0,17.0,64.0,0.8143382352941176,0.6635593512767426,0.9202874331550801,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_8A,10ns,,,,,,,,,,,,radius_sensitivity
theta_pocket_10A,10ns,Theta_pocket_10A_mean_8_10,late non-retained,81,16.0,17.0,64.0,0.8097426470588235,0.6546010783245094,0.9196753153375241,"protein-clustered bootstrap, 5000 draws; fixed score",Theta_pocket_10A,10ns,,,,,,,,,,,,radius_sensitivity
