late_threshold_A,is_primary,n_retained,n_non_retained,auroc_5ns,ci5_lo,ci5_hi,auroc_20ns,ci20_lo,ci20_hi
2.0,False,3,49,0.8435374149659864,0.7023809523809523,0.9642857142857143,0.8163265306122449,0.6122448979591837,0.9840920634920634
2.5,False,6,46,0.8369565217391305,0.7177628920786815,0.9435169811320754,0.8768115942028986,0.6862745098039216,1.0
3.0,True,13,39,0.8560157790927022,0.7418300653594772,0.9345238095238095,0.8599605522682445,0.7472519841269841,0.9509813925570227
3.5,False,19,33,0.8437001594896332,0.7221041324099524,0.9301806614306615,0.8931419457735247,0.7941881209272514,0.9732638146167558
4.0,False,21,31,0.8233486943164362,0.6431367220801365,0.9412272108843537,0.8924731182795699,0.7913043478260869,0.9744642323775389
5.0,False,30,22,0.740909090909091,0.5807330917874397,0.8693742655699177,0.8287878787878787,0.6785714285714286,0.9473684210526315
