subset,n,n_proteins,n_retained,auroc_20ns,ci_lo,ci_hi
full_locked_cohort,52,15,13,0.8599605522682445,0.7472519841269841,0.9509813925570227
excluding_top10pct_early_rmsd,46,15,13,0.8344988344988346,0.7046750398724083,0.9394463482544441
middle_80pct_early_rmsd,40,15,10,0.8866666666666667,0.75,0.9838731240296705
near_decision_boundary_pm1.5A,34,14,13,0.8351648351648352,0.625,0.9569166422549882
