protein,ligand,pocket,replica,starting_structure_identical,md5_20ns,md5_100ns,energy_check,n_overlap_points,raw_pe_corr,fluctuation_corr,mean_abs_pe_diff,pe100_std
CIMG_00533,Milbemycin,pocket9,replica_1,True,89cbf4b77b4870977773241a1cc4a5b1,89cbf4b77b4870977773241a1cc4a5b1,ok,999.0,0.023980455837131327,-0.019264119703982986,3777.736848034824,4661.362816240929
CIMG_00780,Milbemycin,pocket1,replica_1,True,7be2ebd937ea69a53c00b42cb391022a,7be2ebd937ea69a53c00b42cb391022a,ok,999.0,0.023507127913881067,-0.002633829811966221,3750.3374152495326,6082.480828754783
CIMG_00780,Milbemycin,pocket2,replica_1,True,e344105e866285f008046f47a27fa844,e344105e866285f008046f47a27fa844,ok,999.0,0.01649289461278922,0.004555122896340935,4038.402172173336,5023.248453808626
CIMG_00780,Milbemycin,pocket3,replica_1,True,622b48ee51dd046dd38e013b523218a6,622b48ee51dd046dd38e013b523218a6,ok,999.0,-0.005647144325450644,-0.004377245720004834,3507.616698690943,4899.343546833061
CIMG_00780,Milbemycin,pocket4,replica_1,True,bd9a347c657c9763619d4f27391d4925,bd9a347c657c9763619d4f27391d4925,ok,999.0,0.00854661323285873,-0.02386672632330434,3589.3190808184145,2740.5615975897704
CIMG_00780,Milbemycin,pocket7,replica_1,True,4c67a01ad358ca137072abfb484177e7,4c67a01ad358ca137072abfb484177e7,ok,999.0,0.02303540433954203,0.0073336936388255294,3738.066055497838,3202.9340615661863
CIMG_00780,Milbemycin,pocket8,replica_1,True,ec2f12f14f486018c4132920cf655d94,ec2f12f14f486018c4132920cf655d94,ok,999.0,0.009161372343591831,-0.02307063717359959,4481.1159728620305,5073.135810376649
CIMG_00780,Milbemycin,pocket9,replica_1,True,6465aa6feb34235f24295a1454acea21,6465aa6feb34235f24295a1454acea21,ok,999.0,0.03534745349649241,0.005654552825398122,3599.3754793941935,5205.467527696139
CIMG_01418,Milbemycin,pocket15,replica_1,True,598f6e9e3c7332da6eba3a976f2ab473,598f6e9e3c7332da6eba3a976f2ab473,ok,999.0,0.017507186322078233,-0.024273707566430876,4201.934208054381,8819.557210041843
CIMG_01418,Milbemycin,pocket3,replica_1,True,f55c8266f89e957771367a7d4e935441,f55c8266f89e957771367a7d4e935441,ok,999.0,-0.015735841707635225,-0.07407164733798594,6194.2198619821775,5464.653920123926
