checkpoint_ns,checkpoint_role,feature,feature_definition,n,n_proteins,n_retained,n_nonretained,continuous_feature_auroc,continuous_feature_auroc_ci_lo,continuous_feature_auroc_ci_hi,oof_probability_auroc,oof_probability_auroc_ci_lo,oof_probability_auroc_ci_hi,oof_balanced_accuracy_p05,oof_balanced_accuracy_ci_lo,oof_balanced_accuracy_ci_hi,sensitivity_retained,specificity_nonretained,correct_stop_tn,false_stop_fn,correct_continue_tp,nonretained_continue_fp,validation_design,uncertainty_method,outcome_definition,cohort_definition
5,secondary retrospective checkpoint exploration,same_traj_pose_rmsd_5ns_A,"mean PBC-aware protein-CA-aligned ligand heavy-atom RMSD over (3,5] ns; lower predicts retention",52,15,13,39,0.8560157790927022,0.7418300653594772,0.9345238095238095,0.8500986193293886,0.7266889667145594,0.931208146649323,0.7820512820512822,0.6388350340136054,0.875,0.9230769230769231,0.6410256410256411,25,1,12,14,outer leave-one-protein-out; training-fold-only StandardScaler; fixed L2 logistic C=1; fixed p>=0.5 continue decision; no tuning,5000-draw protein-clustered bootstrap of fixed scores/OOF predictions; models not refit per draw,"late_pose_retained_rmsd_v1: complete nominal (70,100] ns coverage and median PBC-aware protein-relative ligand RMSD < 3 A",same 52 complete trajectories with a locked late outcome and all 5/10/15/20/30 ns corrected-RMSD checkpoint measurements
10,secondary retrospective checkpoint exploration,same_traj_pose_rmsd_10ns_A,"mean PBC-aware protein-CA-aligned ligand heavy-atom RMSD over (8,10] ns; lower predicts retention",52,15,13,39,0.8875739644970414,0.7710420531849104,0.9712510466507176,0.8717948717948718,0.7454545454545455,0.9667706647889577,0.858974358974359,0.7090719696969697,0.9459459459459459,0.9230769230769231,0.7948717948717948,31,1,12,8,outer leave-one-protein-out; training-fold-only StandardScaler; fixed L2 logistic C=1; fixed p>=0.5 continue decision; no tuning,5000-draw protein-clustered bootstrap of fixed scores/OOF predictions; models not refit per draw,"late_pose_retained_rmsd_v1: complete nominal (70,100] ns coverage and median PBC-aware protein-relative ligand RMSD < 3 A",same 52 complete trajectories with a locked late outcome and all 5/10/15/20/30 ns corrected-RMSD checkpoint measurements
15,secondary retrospective checkpoint exploration,same_traj_pose_rmsd_15ns_A,"mean PBC-aware protein-CA-aligned ligand heavy-atom RMSD over (13,15] ns; lower predicts retention",52,15,13,39,0.883629191321499,0.7636363636363637,0.9683303202479336,0.8757396449704142,0.772609819121447,0.9660442736171372,0.8461538461538463,0.7178571428571429,0.925,0.9230769230769231,0.7692307692307693,30,1,12,9,outer leave-one-protein-out; training-fold-only StandardScaler; fixed L2 logistic C=1; fixed p>=0.5 continue decision; no tuning,5000-draw protein-clustered bootstrap of fixed scores/OOF predictions; models not refit per draw,"late_pose_retained_rmsd_v1: complete nominal (70,100] ns coverage and median PBC-aware protein-relative ligand RMSD < 3 A",same 52 complete trajectories with a locked late outcome and all 5/10/15/20/30 ns corrected-RMSD checkpoint measurements
20,locked primary checkpoint for future prospective validation,same_traj_pose_rmsd_20ns_A,"mean PBC-aware protein-CA-aligned ligand heavy-atom RMSD over (18,20] ns; lower predicts retention",52,15,13,39,0.8599605522682445,0.7472519841269841,0.9509813925570227,0.8481262327416174,0.7384232342807924,0.9425913429094765,0.8076923076923077,0.6708035714285715,0.8877834467120177,0.9230769230769231,0.6923076923076923,27,1,12,12,outer leave-one-protein-out; training-fold-only StandardScaler; fixed L2 logistic C=1; fixed p>=0.5 continue decision; no tuning,5000-draw protein-clustered bootstrap of fixed scores/OOF predictions; models not refit per draw,"late_pose_retained_rmsd_v1: complete nominal (70,100] ns coverage and median PBC-aware protein-relative ligand RMSD < 3 A",same 52 complete trajectories with a locked late outcome and all 5/10/15/20/30 ns corrected-RMSD checkpoint measurements
30,secondary retrospective checkpoint exploration,same_traj_pose_rmsd_30ns_A,"mean PBC-aware protein-CA-aligned ligand heavy-atom RMSD over (28,30] ns; lower predicts retention",52,15,13,39,0.854043392504931,0.7424098320158102,0.9398148148148148,0.8461538461538461,0.7337608937115516,0.9349124452782989,0.8205128205128205,0.6949775011355893,0.8979847680351206,0.9230769230769231,0.717948717948718,28,1,12,11,outer leave-one-protein-out; training-fold-only StandardScaler; fixed L2 logistic C=1; fixed p>=0.5 continue decision; no tuning,5000-draw protein-clustered bootstrap of fixed scores/OOF predictions; models not refit per draw,"late_pose_retained_rmsd_v1: complete nominal (70,100] ns coverage and median PBC-aware protein-relative ligand RMSD < 3 A",same 52 complete trajectories with a locked late outcome and all 5/10/15/20/30 ns corrected-RMSD checkpoint measurements
