target,target_column,spearman_rho,spearman_ci_lo,spearman_ci_hi,n_retained_3A,n,auroc_3A,auroc_ci_lo,auroc_ci_hi
"(14,20]ns",Z20_A,0.7828054298642533,0.512306549527596,0.908034997637422,18,52,0.9199346405228758,0.8088177849264706,0.9845752712024501
"(35,50]ns",Z50_A,0.7478015879791685,0.4420600432368901,0.8910493308832015,16,52,0.875,0.691657196969697,0.9774822278854536
"(70,100]ns",late_pose_rmsd_median_last30pct_A,0.5924186800990353,0.30918852956553255,0.7490061153226,13,52,0.8560157790927022,0.7418300653594772,0.9345238095238095
