ligand,n,n_proteins,n_retained,spearman_rho,spearman_ci_lo,spearman_ci_hi,corrected_auroc,corrected_ci_lo,corrected_ci_hi,pbc_naive_auroc,pbc_naive_ci_lo,pbc_naive_ci_hi,ligand_self_auroc,ligand_self_ci_lo,ligand_self_ci_hi,paired_diff_corrected_minus_pbc_naive,paired_diff_corrected_minus_pbc_naive_lo,paired_diff_corrected_minus_pbc_naive_hi,paired_diff_corrected_minus_ligand_self,paired_diff_corrected_minus_ligand_self_lo,paired_diff_corrected_minus_ligand_self_hi
Beauvericin,29,11,5,0.8768472906403939,0.7534231298672388,0.9602202029496715,0.95,0.8666666666666667,1.0,0.6583333333333333,0.43458203933747414,0.8876554144385026,0.8,0.5925925925925926,1.0,0.29166666666666663,0.056349431818181764,0.5283374999999999,0.1499999999999999,-0.01483164983164985,0.34693877551020413
Verapamil,45,16,12,0.8160737812911725,0.6929963053518676,0.8986738948638364,0.8787878787878788,0.8131868131868132,0.9487179487179487,0.6287878787878788,0.4416841223292836,0.7895835690045249,0.6994949494949495,0.513121155160629,0.8428794642857139,0.25,0.08880984695129429,0.4495219435736673,0.17929292929292928,0.04285714285714293,0.3666911764705879
