complex_id,protein,pocket,n_frames,trajectory_end_ns,primary_exclusion_reason,trajectory_path
AFR1|Milbemycin|pocket9|replica_1,AFR1,pocket9,244,48.8000001454926,incomplete_0_100ns_dcd;missing_70_100ns_outcome,/media/zhenli/datadrive/valleyfevermutation/simulation_100ns_md/AFR1/simulation_explicit/pocket9/replica_1/AFR1_prepared_Milbemycin_pocket9_complex_recombined_complex_explicit_trajectory.dcd
CDR2_CANAL|Milbemycin|pocket14|replica_1,CDR2_CANAL,pocket14,48,9.600000028621494,incomplete_0_100ns_dcd;missing_pre20ns_feature;missing_70_100ns_outcome,/media/zhenli/datadrive/valleyfevermutation/simulation_100ns_md/CDR2_CANAL/simulation_explicit/pocket14/replica_1/CDR2_CANAL_prepared_Milbemycin_pocket14_complex_recombined_complex_explicit_trajectory.dcd
CDR2_CANAL|Milbemycin|pocket8|replica_1,CDR2_CANAL,pocket8,474,94.80000028263726,incomplete_0_100ns_dcd,/media/zhenli/datadrive/valleyfevermutation/simulation_100ns_md/CDR2_CANAL/simulation_explicit/pocket8/replica_1/CDR2_CANAL_prepared_Milbemycin_pocket8_complex_recombined_complex_explicit_trajectory.dcd
CIMG_06197|Milbemycin|pocket15|replica_1,CIMG_06197,pocket15,199,39.800000118659945,incomplete_0_100ns_dcd;missing_70_100ns_outcome,/media/zhenli/datadrive/valleyfevermutation/simulation_100ns_md/CIMG_06197/simulation_explicit/pocket15/replica_1/CIMG_06197_prepared_Milbemycin_pocket15_complex_recombined_complex_explicit_trajectory.dcd
MDR1_CRYNH|Milbemycin|pocket12|replica_1,MDR1_CRYNH,pocket12,116,23.200000069168613,incomplete_0_100ns_dcd;missing_pre20ns_feature;missing_70_100ns_outcome,/media/zhenli/datadrive/valleyfevermutation/simulation_100ns_md/MDR1_CRYNH/simulation_explicit/pocket12/replica_1/MDR1_CRYNH_prepared_Milbemycin_pocket12_complex_recombined_complex_explicit_trajectory.dcd
MDR1_TRIRC|Milbemycin|pocket4|replica_1,MDR1_TRIRC,pocket4,402,80.40000023970502,incomplete_0_100ns_dcd,/media/zhenli/datadrive/valleyfevermutation/simulation_100ns_md/MDR1_TRIRC/simulation_explicit/pocket4/replica_1/MDR1_TRIRC_prepared_Milbemycin_pocket4_complex_recombined_complex_explicit_trajectory.dcd
PDH1_CANGA|Milbemycin|pocket13|replica_1,PDH1_CANGA,pocket13,166,33.20000009898267,incomplete_0_100ns_dcd;missing_70_100ns_outcome,/media/zhenli/datadrive/valleyfevermutation/simulation_100ns_md/PDH1_CANGA/simulation_explicit/pocket13/replica_1/PDH1_CANGA_prepared_Milbemycin_pocket13_complex_recombined_complex_explicit_trajectory.dcd
PDR5_YEAST|Milbemycin|pocket14|replica_1,PDR5_YEAST,pocket14,164,32.80000009779011,incomplete_0_100ns_dcd;missing_70_100ns_outcome,/media/zhenli/datadrive/valleyfevermutation/simulation_100ns_md/PDR5_YEAST/simulation_explicit/pocket14/replica_1/PDR5_YEAST_prepared_Milbemycin_pocket14_complex_recombined_complex_explicit_trajectory.dcd
