cutoff,n,n_excluded,auroc,p_value,lopo_balanced_accuracy,ci_lo,ci_hi
none (full cohort),58,0,0.8766140602582496,7.620344086904702e-06,,,
>= 9.0 A excluded,53,5,0.8594771241830065,2.8811819231954266e-05,0.7573529411764706,0.5666666666666667,0.8729861972704714
>= 5.0 A excluded,42,16,0.7976470588235294,0.0012433881560002813,0.7623529411764706,0.5710642911010558,0.8901098901098901
