subset,n,proteins,retained,auroc,ci_low,ci_high
full_cohort,81,16,17,0.8180147058823529,0.7311679122764028,0.8884322117276663
excl_top10pct_early_rmsd,73,16,17,0.792016806722689,0.7018834822906322,0.8634012539184952
middle_80pct_early_rmsd,65,16,14,0.8389355742296919,0.736046181630547,0.9323057441330282
near_decision_boundary_pm1.5A,52,16,17,0.7529411764705882,0.5757555282555283,0.8750038249694002
