checkpoint_ns,n,auroc,auroc_ci_lo,auroc_ci_hi,p_value,lopo_balanced_accuracy,ba_ci_lo,ba_ci_hi
5.0,59,0.8834688346883469,0.7836790780141843,0.9600064102564102,3.3103462121317355e-06,0.8224932249322493,0.7263383702763402,0.9
10.0,59,0.910569105691057,0.8251792313377679,0.9742547425474255,6.364890337572156e-07,0.8191056910569106,0.6729092362316046,0.9189189189189189
15.0,58,0.8995695839311335,0.8083587875939848,0.9729166666666667,2.0452604058554647e-06,0.8730272596843616,0.775814678226363,0.9428571428571428
20.0,58,0.8766140602582496,0.7753607013457557,0.9581443798449613,7.620344086904702e-06,0.7826398852223817,0.6348825992847732,0.8706493506493506
30.0,57,0.8764705882352941,0.7763532763532764,0.9555626780626779,8.323225007116522e-06,0.8455882352941176,0.7570751500272777,0.9125135869565216
