method,n,auroc,ci_lo,ci_hi,p_value
"validated (protein-CA Kabsch + PBC-corrected, 18-20ns window)",58,0.8766140602582496,0.7753607013457557,0.9581443798449613,7.620344086904702e-06
"final-frame-only (validated method, single frame nearest 20ns)",59,0.8861788617886179,0.7936000611995103,0.9578969482529853,2.8203878511321725e-06
"protein-aligned, NO PBC correction (18-20ns window)",58,0.5853658536585366,0.42855214960478116,0.7464797833547833,0.3135216427300871
"ligand-self-superposed RMSD (OLD method, 18-20ns window)",58,0.5494978479196556,0.3829954349810878,0.71625,0.5613747705635805
